{'rssi': -53, 'no': 101, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:39.061425', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -46, 'no': 102, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:40.696931', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -52, 'no': 103, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:48.198492', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -69, 'no': 104, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:48.297269', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -52, 'no': 105, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:49.245776', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -60, 'no': 106, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:49.247688', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -67, 'no': 107, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:49.393044', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -63, 'no': 108, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:56.109794', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -52, 'no': 109, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:59.263158', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -67, 'no': 110, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:43:59.405130', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -48, 'no': 111, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:00.793260', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -64, 'no': 112, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:00.795052', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -70, 'no': 113, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:10.405511', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -48, 'no': 114, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:11.500786', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -69, 'no': 115, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:11.502398', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -42, 'no': 116, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:16.871345', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -50, 'no': 117, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:21.305394', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -64, 'no': 118, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:22.625407', 'device_id': 'e2:01:00:02:0d:40'}
{'rssi': -45, 'no': 119, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:22.632715', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -47, 'no': 120, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:23.561230', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -69, 'no': 121, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:25.970239', 'device_id': 'e2:01:00:01:b6:40'}
{'rssi': -62, 'no': 122, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:26.922121', 'device_id': 'e2:01:00:02:44:40'}
{'rssi': -59, 'no': 123, 'gateway_id': 'b8:27:eb:c9:17:19', 'timestamp': '2017-05-29 07:44:29.325145', 'device_id': 'e2:01:00:01:f0:40'}
{'rssi': -61, 'device_id': 'e2:01:00:02:0d:40', 'timestamp': '2017-05-29 07:45:31.688798', 'gateway_id': 'b8:27:eb:c9:17:19', 'no': 1}
{'rssi': -49, 'device_id': 'e2:01:00:02:0d:40', 'timestamp': '2017-05-29 07:45:42.702777', 'gateway_id': 'b8:27:eb:c9:17:19', 'no': 2}
{'rssi': -67, 'device_id': 'e2:01:00:02:0d:40', 'timestamp': '2017-05-29 07:45:42.801436', 'gateway_id': 'b8:27:eb:c9:17:19', 'no': 3}
{'rssi': -49, 'device_id': 'e2:01:00:02:0d:40', 'timestamp': '2017-05-29 07:45:54.000238', 'gateway_id': 'b8:27:eb:c9:17:19', 'no': 4}
{'rssi': -67, 'device_id': 'e2:01:00:02:0d:40', 'timestamp': '2017-05-29 07:45:54.239045', 'gateway_id': 'b8:27:eb:c9:17:19', 'no': 5}
{'rssi': -66, 'device_id': 'e2:01:00:02:0d:40', 'timestamp': '2017-05-29 07:46:04.798123', 'gateway_id': 'b8:27:eb:c9:17:19', 'no': 6}
{'rssi': -77, 'device_id': 'e2:01:00:02:0d:40', 'timestamp': '2017-05-29 07:46:16.109653', 'gateway_id': 'b8:27:eb:c9:17:19', 'no': 7}
{'rssi': -91, 'device_id': 'e2:01:00:02:0d:40', 'timestamp': '2017-05-29 07:46:17.338659', 'gateway_id': 'b8:27:eb:c9:17:19', 'no': 8}
